date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:21	15301/15301	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:23:20%20GMT	http://www.minotech.co.uk/blog/climate-change-mitigation-remote-working/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/climate-change-mitigation-remote-working/index.html	(from http://www.minotech.co.uk/blog/)
11:23:22	15660/15660	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:23:20%20GMT	http://www.minotech.co.uk/blog/what-is-a-pragmatic-agilist/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/what-is-a-pragmatic-agilist/index.html	(from http://www.minotech.co.uk/blog/)
11:23:54	174311/174311	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jan%202021%2011:23:22%20GMT	http://www.minotech.co.uk/media/1007/keith-jackson-2.jpg	/home/keith/websites/Minotech/www.minotech.co.uk/media/1007/keith-jackson-2.jpg	(from http://www.minotech.co.uk/contact/)
11:23:55	9508/9508	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:23:54%20GMT	http://www.minotech.co.uk/blog/meet-the-real-spike/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/meet-the-real-spike/index.html	(from http://www.minotech.co.uk/blog/)
11:23:57	10428/10428	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:23:55%20GMT	http://www.minotech.co.uk/blog/goodbye-stephen/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/goodbye-stephen/index.html	(from http://www.minotech.co.uk/blog/)
11:24:07	45717/45717	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jan%202021%2011:23:57%20GMT	http://www.minotech.co.uk/media/1028/hand-cloud-med.jpg	/home/keith/websites/Minotech/www.minotech.co.uk/media/1028/hand-cloud-med.jpg	(from http://www.minotech.co.uk/services/remote-control/)
11:24:08	11812/11812	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:24:06%20GMT	http://www.minotech.co.uk/blog/the-pragmatic-agile-community/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/the-pragmatic-agile-community/index.html	(from http://www.minotech.co.uk/blog/)
11:24:09	10838/10838	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:24:08%20GMT	http://www.minotech.co.uk/services/remote-control	/home/keith/websites/Minotech/www.minotech.co.uk/services/remote-control.html	(from http://www.minotech.co.uk/blog/the-time-to-change-is-now/)
11:24:11	17624/17624	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:24:08%20GMT	http://www.minotech.co.uk/blog/pragmatism-vs-compromise-a-difficult-distinction/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/pragmatism-vs-compromise-a-difficult-distinction/index.html	(from http://www.minotech.co.uk/blog/)
11:24:12	403961/403961	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Jan%202021%2011:22:59%20GMT	http://www.minotech.co.uk/media/1095/spike-leaving-mentor.jpg	/home/keith/websites/Minotech/www.minotech.co.uk/media/1095/spike-leaving-mentor.jpg	(from http://www.minotech.co.uk/blog/)
11:24:13	4518/4518	---M--	200	added ('OK')	image/gif	date:Wed,%2006%20Jan%202021%2011:24:11%20GMT	http://www.minotech.co.uk/media/1009/csm.gif	/home/keith/websites/Minotech/www.minotech.co.uk/media/1009/csm.gif	(from http://www.minotech.co.uk/network/keith-jackson/)
11:24:13	13570/13570	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2006%20Jan%202021%2011:24:11%20GMT	http://www.minotech.co.uk/why-mot/clients/	/home/keith/websites/Minotech/www.minotech.co.uk/why-mot/clients/index.html	(from http://www.minotech.co.uk/)
11:24:15	14671/14671	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:24:13%20GMT	http://www.minotech.co.uk/blog/agile-cymru-or-to-cardiff-and-back-again/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/agile-cymru-or-to-cardiff-and-back-again/index.html	(from http://www.minotech.co.uk/network/keith-jackson/)
